YEARS,CO2EQ,KYOTO-CO2EQ,CO2,           CH4      ,           N2O    ,FGASSUMHFC134AEQ     ,MHALOSUMCFC12EQ      ,           CF4      ,          C2F6      ,        C6F14       ,         HFC23      ,         HFC32      ,      HFC43_10      ,        HFC125      ,       HFC134a      ,       HFC143a      ,      HFC227ea      ,      HFC245fa      ,           SF6      ,        CFC_11      ,        CFC_12      ,       CFC_113      ,       CFC_114      ,       CFC_115      ,      CARB_TET      ,           MCF      ,       HCFC_22      ,     HCFC_141B      ,     HCFC_142B      ,     HALON1211      ,     HALON1202      ,     HALON1301      ,     HALON2402      ,         CH3BR      ,         CH3CL
1796,2.8137816E+02,2.8350228E+02,2.824268E+02,7.3862653E+02,2.7358733E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1797,2.8147794E+02,2.8365328E+02,2.8255093E+02,7.3934336E+02,2.7360876E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1798,2.8157703E+02,2.8380114E+02,2.8267123E+02,7.4008028E+02,2.7363046E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1799,2.8169873E+02,2.8394537E+02,2.827873E+02,7.4083442E+02,2.7365247E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1800,2.817953E+02,2.840859E+02,2.8289901E+02,7.4160809E+02,2.7367485E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1801,2.8189146E+02,2.8422354E+02,2.8300677E+02,7.4241328E+02,2.7369762E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1802,2.8196434E+02,2.8435894E+02,2.8311093E+02,7.4325995E+02,2.7372076E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1803,2.8206097E+02,2.8449185E+02,2.8321129E+02,7.4414594E+02,2.7374429E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1804,2.8220419E+02,2.8462153E+02,2.8330737E+02,7.4506346E+02,2.7376825E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1805,2.8232288E+02,2.847482E+02,2.8339963E+02,7.4600472E+02,2.7379267E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
